E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
65	0.000736	0.0003435	0.0007359	0.0003486	7.794e-05	0.0003011	0.000306	0.0002996	5.313e-05	0.0002643	1.294e-05	0.0002645
66	0.0005747	0.0003431	0.0003975	0.0003488	0.0002371	0.000299	0.0002143	0.0002981	0	0.0002636	0	0.0002634
67	0.0003404	0.0003403	0.0006686	0.0003419	0.0001157	0.0002958	0.0002485	0.000299	0	0.0002636	0	0.0002634
68	0.0007212	0.0003311	0.0004407	0.0003453	0.0002275	0.0002925	5.478e-05	0.0003023	0	0.0002636	0	0.0002634
69	0.0004693	0.0003298	0.0005238	0.0003422	0.0001139	0.0002856	0.0001336	0.0002989	0	0.0002636	0	0.0002634
70	0.0004487	0.0003285	0.0005941	0.0003374	8.067e-05	0.0002962	0.0001604	0.0002954	0	0.0002636	0	0.0002634
71	0.0006193	0.0003251	0.0006986	0.0003355	0.0001783	0.0002884	0.0003113	0.0002961	0	0.0002636	0	0.0002634
72	0.0004446	0.0003273	0.0006379	0.0003289	0.0002155	0.0002908	0.0003394	0.0002942	0	0.0002636	0	0.0002634
73	0.0001874	0.0003317	0.0008475	0.0003287	0.0001038	0.000292	0.0002975	0.0002938	0	0.0002636	0	0.0002634
74	0.0007216	0.000318	0.0003634	0.0003316	0.0002098	0.0002826	0.0002308	0.0002919	0	0.0002636	0	0.0002634
75	0.0004669	0.000316	0.0003202	0.0003315	0.0001127	0.0002855	0.0001188	0.0002973	0	0.0002636	0	0.0002634
76	0.0006355	0.0003145	0.0004446	0.0003264	0.0001803	0.0002827	0.0001383	0.0002908	0	0.0002636	0	0.0002634
77	0.0006934	0.0003126	0.0002948	0.0003261	9.342e-05	0.0002879	0.0002024	0.0002886	0	0.0002636	0	0.0002634
78	0.0004534	0.0003172	0.0004095	0.0003211	0.0001012	0.0002836	9.649e-05	0.0002925	0	0.0002636	0	0.0002634
79	0.0004827	0.0003147	0.0004141	0.0003138	0.0002313	0.0002796	0.0002484	0.0002751	0	0.0002636	0	0.0002634
80	0.0004327	0.0003133	0.0003387	0.0003165	7.316e-05	0.0002848	0.0001863	0.0002885	0	0.0002636	0	0.0002634
